player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Bryce Young,QB,0.0,218.36,True,True,not a confirmed keeper or college-rights hold
Jerry Jeudy,WR,0.0,93.02,True,True,not a confirmed keeper or college-rights hold
Jauan Jennings,WR,0.0,89.4,True,True,not a confirmed keeper or college-rights hold
Dontayvion Wicks,WR,0.0,73.95,True,True,not a confirmed keeper or college-rights hold
Omar Cooper Jr.,WR,0.0,71.98,True,True,not a confirmed keeper or college-rights hold
Ryan Flournoy,WR,0.0,88.9,True,True,not a confirmed keeper or college-rights hold
Calvin Ridley,WR,0.0,72.14,True,True,not a confirmed keeper or college-rights hold
Darren Waller,TE,0.0,82.85,True,True,not a confirmed keeper or college-rights hold
Kareem Hunt,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Tre Harris,WR,0.0,88.42,True,True,not a confirmed keeper or college-rights hold
Sam Darnold,QB,0.0,229.22,True,True,not a confirmed keeper or college-rights hold
Evan Engram,TE,0.0,59.49,True,True,not a confirmed keeper or college-rights hold
Cyrus Allen,WR,0.0,66.53,True,True,not a confirmed keeper or college-rights hold
Tua Tagovailoa,QB,0.0,103.67,True,True,not a confirmed keeper or college-rights hold
Tyquan Thornton,WR,0.0,57.5,True,True,not a confirmed keeper or college-rights hold
Jack Bech,WR,0.0,58.15,True,True,not a confirmed keeper or college-rights hold
David Njoku,TE,0.0,56.0,True,True,not a confirmed keeper or college-rights hold
Ted Hurst III,WR,0.0,61.33,True,True,not a confirmed keeper or college-rights hold
Chimere Dike,WR,0.0,52.35,True,True,not a confirmed keeper or college-rights hold
Ty Johnson,RB,0.0,48.65,True,True,not a confirmed keeper or college-rights hold
Greg Dulcich,TE,0.0,101.4,True,True,not a confirmed keeper or college-rights hold
Caleb Douglas,WR,0.0,83.27,True,True,not a confirmed keeper or college-rights hold
Cam Ward,QB,0.0,221.28,True,True,not a confirmed keeper or college-rights hold
