player,position,base_value,projected_points,points_is_real,auction_eligible,eligibility_reason
Konata Mumpfield,WR,0.0,16.27,True,True,not a confirmed keeper or college-rights hold
Eli Raridon,TE,0.0,33.55,True,True,not a confirmed keeper or college-rights hold
Tez Johnson,WR,0.0,33.4,True,True,not a confirmed keeper or college-rights hold
Tyler Higbee,TE,0.0,33.6,True,True,not a confirmed keeper or college-rights hold
Erick All Jr.,TE,0.0,52.0,True,True,not a confirmed keeper or college-rights hold
Cole Kmet,TE,0.0,53.05,True,True,not a confirmed keeper or college-rights hold
Tyreek Hill,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Jordan Watkins,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Adam Prentice,RB,0.0,8.57,True,True,not a confirmed keeper or college-rights hold
Tyler Lockett,WR,0.0,22.8,True,True,not a confirmed keeper or college-rights hold
Tanner Koziol,TE,0.0,14.48,True,True,not a confirmed keeper or college-rights hold
Tyrod Taylor,QB,0.0,10.25,True,True,not a confirmed keeper or college-rights hold
Trey Lance,QB,0.0,9.42,True,True,not a confirmed keeper or college-rights hold
Drew Allar,QB,0.0,9.78,True,True,not a confirmed keeper or college-rights hold
Lew Nichols III,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Justin Joly,TE,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Jimmy Horn Jr.,WR,0.0,17.95,True,True,not a confirmed keeper or college-rights hold
Cade Stover,TE,0.0,25.63,True,True,not a confirmed keeper or college-rights hold
British Brooks,RB,0.0,2.4,True,True,not a confirmed keeper or college-rights hold
Moliki Matavao,TE,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Ben Sinnott,TE,0.0,28.2,True,True,not a confirmed keeper or college-rights hold
Cade Klubnik,QB,0.0,8.5,True,True,not a confirmed keeper or college-rights hold
Sione Vaki,RB,0.0,6.02,True,True,not a confirmed keeper or college-rights hold
Rasheen Ali,RB,0.0,16.97,True,True,not a confirmed keeper or college-rights hold
Tim Patrick,WR,0.0,14.07,True,True,not a confirmed keeper or college-rights hold
Tyler Badie,RB,0.0,0.0,True,True,not a confirmed keeper or college-rights hold
Mitch Tinsley,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Roman Hemby,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Jahdae Walker,WR,0.0,29.43,True,True,not a confirmed keeper or college-rights hold
Dylan Laube,RB,0.0,0.0,True,True,not a confirmed keeper or college-rights hold
Josh Williams,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Ronnie Rivers,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Max Bredeson,RB,0.0,7.85,True,True,not a confirmed keeper or college-rights hold
Antonio Gibson,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
DeAndre Hopkins,WR,0.0,2.0,True,True,not a confirmed keeper or college-rights hold
Khalil Herbert,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Riley Leonard,QB,0.0,11.86,True,True,not a confirmed keeper or college-rights hold
Damien Martinez,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Will Kacmarek,TE,0.0,48.59,True,True,not a confirmed keeper or college-rights hold
Elijah Moore,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Quinn Ewers,QB,0.0,9.68,True,True,not a confirmed keeper or college-rights hold
Jacob Cowing,WR,0.0,7.86,True,True,not a confirmed keeper or college-rights hold
Xavier Smith,WR,0.0,8.03,True,True,not a confirmed keeper or college-rights hold
Josh Oliver,TE,0.0,33.3,True,True,not a confirmed keeper or college-rights hold
Robert Henry Jr.,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Reggie Gilliam,RB,0.0,6.24,True,True,not a confirmed keeper or college-rights hold
Jeremy McNichols,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Alec Ingold,RB,0.0,12.28,True,True,not a confirmed keeper or college-rights hold
Matt Hibner,TE,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Zavier Scott,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Marlin Klein,TE,0.0,27.9,True,True,not a confirmed keeper or college-rights hold
KaVontae Turpin,WR,0.0,56.6,True,True,not a confirmed keeper or college-rights hold
Barion Brown,WR,0.0,14.94,True,True,not a confirmed keeper or college-rights hold
Savion Williams,WR,0.0,38.77,True,True,not a confirmed keeper or college-rights hold
Ty Simpson,QB,0.0,18.3,True,True,not a confirmed keeper or college-rights hold
Roman Wilson,WR,0.0,42.4,True,True,not a confirmed keeper or college-rights hold
Shedeur Sanders,QB,0.0,101.58,True,True,not a confirmed keeper or college-rights hold
Jawhar Jordan,RB,0.0,21.18,True,True,not a confirmed keeper or college-rights hold
Justin Fields,QB,0.0,40.19,True,True,not a confirmed keeper or college-rights hold
Anthony Richardson Sr.,QB,0.0,10.4,True,True,not a confirmed keeper or college-rights hold
Kyle Juszczyk,RB,0.0,43.16,True,True,not a confirmed keeper or college-rights hold
Kalif Raymond,WR,0.0,32.99,True,True,not a confirmed keeper or college-rights hold
Jordan Whittington,WR,0.0,17.43,True,True,not a confirmed keeper or college-rights hold
Jam Miller,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Greg Dortch,WR,0.0,31.14,True,True,not a confirmed keeper or college-rights hold
Dyami Brown,WR,0.0,38.75,True,True,not a confirmed keeper or college-rights hold
Daniel Bellinger,TE,0.0,39.7,True,True,not a confirmed keeper or college-rights hold
Mitchell Evans,TE,0.0,16.86,True,True,not a confirmed keeper or college-rights hold
Isaiah Williams,WR,0.0,21.42,True,True,not a confirmed keeper or college-rights hold
Austin Hooper,TE,0.0,31.35,True,True,not a confirmed keeper or college-rights hold
Chris Blair,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
John Bates,TE,0.0,33.82,True,True,not a confirmed keeper or college-rights hold
Tai Felton,WR,0.0,6.75,True,True,not a confirmed keeper or college-rights hold
Terrell Jennings,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Deion Burks,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Dameon Pierce,RB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Hunter Luepke,RB,0.0,20.7,True,True,not a confirmed keeper or college-rights hold
Odell Beckham Jr.,WR,0.0,19.31,True,True,not a confirmed keeper or college-rights hold
Tommy Myers,TE,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Tyler Goodson,RB,0.0,11.22,True,True,not a confirmed keeper or college-rights hold
Elijah Higgins,TE,0.0,36.0,True,True,not a confirmed keeper or college-rights hold
Xavier Legette,WR,0.0,60.63,True,True,not a confirmed keeper or college-rights hold
Jake Browning,QB,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Daniel Jones,QB,0.0,223.84,True,True,not a confirmed keeper or college-rights hold
Elic Ayomanor,WR,0.0,45.4,True,True,not a confirmed keeper or college-rights hold
Cade Otton,TE,0.0,85.45,True,True,not a confirmed keeper or college-rights hold
Dontayavion Wicks,WR,0.0,0.0,False,True,not a confirmed keeper or college-rights hold
Troy Franklin,WR,0.0,51.54,True,True,not a confirmed keeper or college-rights hold
Tanner Hudson,TE,0.0,18.22,True,True,not a confirmed keeper or college-rights hold
