player,position,nfl_team,projected_points,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Dallas Goedert,TE,PHI,119.45,,,,,,57.9,619.0,4.8,0.2,0.1
Jared Goff,QB,DET,261.71,3997.0,28.0,9.4,62.3,0.7,,,,2.4,1.5
Patrick Mahomes,QB,KC,254.26,3609.0,25.6,10.6,241.0,1.1,,,,2.0,1.0
Travis Kelce,TE,KC,129.94,,,,0.4,,65.0,706.0,4.5,0.2,0.1
Isaiah Likely,TE,NYG,115.25,,,,,,55.9,609.0,4.4,0.1,0.1
Romeo Doubs,WR,NE,122.25,,,,,,50.3,665.0,5.1,0.1,0.1
Aaron Jones Sr.,RB,MIN,131.55,,,,576.0,3.4,36.5,271.0,1.6,0.9,0.2
Jordan Love,QB,GB,256.74,3696.0,25.7,8.2,181.0,1.3,,,,2.7,1.0
Jakobi Meyers,WR,JAX,131.61,,,,15.6,0.1,60.1,702.0,4.9,0.2,0.1
Jordyn Tyson,WR,NO,94.75,,,,2.0,,43.9,534.0,3.2,0.1,0.1
Keaton Mitchell,RB,LAC,90.45,,,,447.0,3.1,19.1,140.0,0.8,0.7,0.1
Mike Washington Jr.,RB,LV,80.65,,,,398.0,2.5,16.1,138.0,0.7,0.2,0.1
MarShawn Lloyd,RB,GB,75.39,,,,379.0,3.0,13.7,92.4,0.6,0.3,0.2
Xavier Worthy,WR,KC,118.5,,,,79.0,0.7,47.2,610.0,3.8,0.6,0.1
Woody Marks,RB,HOU,104.75,,,,505.0,3.5,20.7,169.0,1.2,0.8,0.2
Malik Willis,QB,MIA,253.88,2872.0,19.2,8.0,560.0,4.2,,,,2.1,0.6
Rashid Shaheed,WR,SEA,105.92,,,,59.7,0.3,42.5,557.0,3.7,0.6,0.1
Mark Andrews,TE,BAL,128.18,,,,23.8,0.4,56.8,574.0,6.3,0.2,0.1
Baker Mayfield,QB,TB,243.4,3485.0,23.8,10.9,266.0,1.3,,,,2.9,1.0
Tyler Shough,QB,NO,258.88,3587.0,22.5,10.2,284.0,3.4,,,,2.6,1.1
Tyler Allgeier,RB,ARI,86.65,,,,473.0,3.5,14.7,102.0,0.3,0.8,0.3
Tank Bigsby,RB,PHI,68.64,,,,413.0,3.0,6.7,59.9,0.2,0.7,0.1
Khalil Shakir,WR,BUF,122.83,,,,9.8,0.0,62.7,659.0,4.1,0.1,0.1
Tyjae Spears,RB,TEN,113.45,,,,428.0,3.3,35.1,243.0,1.7,0.9,0.3
Juwan Johnson,TE,NO,111.55,,,,,,55.1,618.0,3.7,0.1,0.1
Jonah Coleman,RB,DEN,67.3,,,,298.0,2.3,14.2,130.0,0.8,0.6,0.0
Denzel Boston,WR,CLE,106.28,,,,4.3,,50.7,601.0,3.4,0.1,0.1
Jake Ferguson,TE,DAL,117.94,,,,1.4,0.0,66.0,554.0,5.1,0.7,0.1
Keenan Allen,WR,IND,80.85,,,,,,40.3,445.0,2.7,0.1,0.1
Adonai Mitchell,WR,NYJ,84.34,,,,5.4,0.0,36.2,477.0,3.0,0.1,0.1
Tre Tucker,WR,LV,95.11,,,,43.6,0.1,42.3,522.0,2.8,0.1,0.1
Dalton Schultz,TE,HOU,109.4,,,,,,58.8,568.0,3.9,0.2,0.1
Deebo Samuel Sr.,WR,SF,102.68,,,,66.3,0.8,45.5,505.0,3.2,0.7,0.1
Sam Darnold,QB,SEA,229.22,3498.0,23.9,11.1,131.0,1.0,,,,2.6,1.0
Jalen McMillan,WR,TB,92.48,,,,21.3,0.1,38.1,505.0,3.4,0.1,0.0
Ray Davis,RB,BUF,61.54,,,,303.0,2.0,12.1,97.9,0.6,0.2,0.1
Dontayvion Wicks,WR,PHI,73.95,,,,5.5,0.0,32.6,417.0,2.6,0.1,0.0
Chig Okonkwo,TE,WAS,98.45,,,,,,52.5,518.0,3.4,0.1,0.1
Terrance Ferguson,TE,LAR,82.7,,,,,,33.4,452.0,3.5,0.1,0.0
Pat Bryant,WR,DEN,79.5,,,,3.0,,36.2,437.0,2.9,0.1,0.1
Braelon Allen,RB,NYJ,68.77,,,,326.0,2.9,12.2,92.7,0.6,0.3,0.2
Kaelon Black,RB,SF,47.43,,,,234.0,2.0,7.6,70.3,0.2,0.1,0.1
Brian Robinson,RB,ATL,77.14,,,,444.0,3.2,10.8,65.4,0.3,0.3,0.2
C.J. Stroud,QB,HOU,245.14,3656.0,23.5,11.1,211.0,1.5,,,,2.5,1.0
Ryan Flournoy,WR,DAL,88.9,,,,14.5,0.1,40.7,487.0,3.0,0.1,0.0
Daniel Jones,QB,IND,223.84,3256.0,21.0,9.3,198.0,1.9,,,,2.5,1.0
Hunter Henry,TE,NE,119.7,,,,,,54.0,623.0,5.1,0.2,0.1
Brenton Strange,TE,JAX,112.65,,,,,,53.9,605.0,4.2,0.1,0.1
Emmett Johnson,RB,KC,63.25,,,,276.0,2.0,14.1,128.0,0.8,0.6,0.1
Caleb Douglas,WR,MIA,83.27,,,,1.2,,37.9,456.0,3.1,0.1,0.1
Ja'Kobi Lane,WR,BAL,79.35,,,,2.0,,34.1,423.0,3.3,0.1,0.1
Kayshon Boutte,WR,HOU,86.3,,,,,,34.4,501.0,3.2,0.1,0.0
Travis Hunter,WR,JAX,73.58,,,,10.3,0.0,33.7,383.0,2.9,0.1,0.1
Cyrus Allen,WR,KC,66.53,,,,2.3,0.0,30.4,367.0,2.4,0.0,0.0
Jalen Nailor,WR,LV,94.21,,,,10.1,0.0,39.0,539.0,3.3,0.1,0.1
Isiah Pacheco,RB,DET,73.93,,,,401.0,3.0,12.3,78.8,0.5,0.7,0.1
Cam Ward,QB,TEN,221.28,3387.0,21.0,10.1,170.0,1.6,,,,3.3,1.0
AJ Barner,TE,SEA,99.04,,,,21.4,0.5,48.4,469.0,3.8,0.1,0.1
Dylan Sampson,RB,CLE,79.3,,,,291.0,1.7,25.6,202.0,1.4,0.8,0.1
Bryce Young,QB,CAR,218.36,3224.0,20.9,10.9,210.0,1.7,,,,2.7,0.9
Alvin Kamara,RB,NO,68.7,,,,283.0,1.8,21.2,142.0,1.0,0.7,0.1
Tre' Harris,WR,LAC,88.42,,,,4.2,0.0,38.6,483.0,3.4,0.1,0.1
Devaughn Vele,WR,NO,81.38,,,,3.3,,36.7,453.0,2.9,0.1,0.1
Jaylin Noel,WR,HOU,77.12,,,,21.7,0.1,34.5,403.0,2.8,0.1,0.1
Greg Dulcich,TE,MIA,101.4,,,,,,48.8,548.0,3.7,0.1,0.1
Jerry Jeudy,WR,CLE,93.02,,,,5.2,0.0,41.4,526.0,3.2,0.1,0.1
Malik Washington,WR,MIA,92.28,,,,74.8,0.5,45.4,399.0,3.2,0.1,0.1
Kenyon Sadiq,TE,NYJ,85.03,,,,2.3,,44.2,459.0,2.8,0.1,0.1
Demond Claiborne,RB,MIN,32.59,,,,149.0,1.1,7.6,72.9,0.2,0.6,0.0
Najee Harris,RB,NYG,41.47,,,,173.0,1.6,10.1,79.2,0.3,0.2,0.1
Omar Cooper Jr.,WR,NYJ,71.98,,,,5.8,0.0,33.0,401.0,2.5,0.1,0.0
Nicholas Singleton,RB,TEN,48.11,,,,211.0,1.5,10.4,98.1,0.7,0.6,0.0
