player,position,nfl_team,projected_points,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Chris Godwin Jr.,WR,TB,134.26,,,,3.1,,63.7,727.0,4.9,0.1,0.1
Michael Wilson,WR,ARI,132.1,,,,2.0,,58.2,752.0,4.6,0.1,0.1
Josh Downs,WR,IND,145.07,,,,13.2,0.0,72.7,774.0,5.0,0.1,0.1
George Kittle,TE,SF,130.46,,,,0.1,,60.5,704.0,5.0,0.2,0.1
Jacory Croskey-Merritt,RB,WAS,127.0,,,,716.0,5.5,15.8,117.0,0.7,0.9,0.2
Stefon Diggs,WR,WAS,130.42,,,,5.2,0.1,61.4,704.0,4.7,0.1,0.1
Blake Corum,RB,LAR,134.1,,,,766.0,6.3,15.9,99.5,0.5,0.8,0.2
De'Zhaun Stribling,WR,SF,92.85,,,,,0.0,42.7,519.0,3.3,0.1,0.0
Chuba Hubbard,RB,CAR,143.25,,,,717.0,5.0,28.7,200.0,1.4,0.9,0.3
Quentin Johnston,WR,LAC,125.4,,,,11.5,0.0,51.1,681.0,5.1,0.1,0.1
Jordan Addison,WR,MIN,131.03,,,,28.3,0.1,52.2,709.0,5.1,0.1,0.1
Jayden Reed,WR,GB,143.93,,,,64.8,0.1,58.9,774.0,5.2,0.7,0.1
Brock Purdy,QB,SF,256.32,3648.0,25.6,12.0,230.0,1.9,,,,2.6,1.4
Alec Pierce,WR,IND,154.64,,,,2.9,,53.7,909.0,6.1,0.1,0.1
Courtland Sutton,WR,DEN,137.35,,,,,,55.3,749.0,5.8,0.1,0.1
KC Concepcion,WR,CLE,118.36,,,,27.6,0.1,55.2,662.0,3.7,0.6,0.1
Bo Nix,QB,DEN,262.52,3623.0,24.7,10.4,280.0,2.4,,,,2.3,0.9
Jaxson Dart,QB,NYG,273.12,3248.0,21.9,10.1,482.0,5.0,,,,2.4,1.2
Jordan Mason,RB,MIN,137.2,,,,779.0,6.1,17.8,106.0,0.7,0.8,0.3
Matthew Golden,WR,GB,127.74,,,,43.4,0.1,53.6,686.0,4.6,0.2,0.1
Michael Pittman Jr.,WR,PIT,137.83,,,,2.3,,69.8,753.0,4.6,0.2,0.1
Makai Lemon,WR,PHI,119.03,,,,3.3,,51.6,689.0,4.0,0.1,0.1
Dalton Kincaid,TE,BUF,118.1,,,,,,55.2,659.0,4.1,0.1,0.1
Kyle Monangai,RB,CHI,144.3,,,,749.0,6.2,21.2,168.0,1.0,0.9,0.3
RJ Harvey,RB,DEN,136.65,,,,495.0,3.8,40.7,308.0,2.4,0.9,0.3
Wan'Dale Robinson,WR,TEN,133.19,,,,14.4,0.0,69.1,744.0,3.8,0.1,0.1
Chris Rodriguez Jr.,RB,JAX,110.29,,,,649.0,5.1,10.7,88.4,0.3,0.8,0.2
Matthew Stafford,QB,LAR,250.22,3757.0,28.4,8.8,33.4,0.2,,,,1.8,1.5
Jalen Coker,WR,CAR,124.35,,,,2.0,,56.9,707.0,4.2,0.1,0.0
Kyler Murray,QB,MIN,255.34,3346.0,22.2,9.6,425.0,2.2,,,,2.8,0.9
Kenny Gainwell,RB,TB,136.45,,,,475.0,3.9,43.7,315.0,2.2,0.8,0.3
Rachaad White,RB,WAS,127.05,,,,534.0,3.8,33.7,230.0,2.0,0.8,0.3
