player,position,nfl_team,ecr,games,vendor_weekly_proj,vendor_season_points,scored_points_league_rules,pass_yd,pass_td,interception,rush_yd,rush_td,reception,rec_yd,rec_td,fumble_lost,two_pt
Tyler Allgeier,RB,ARI,RB47,17.0,5.04,116.0,116.0,0.0,0.0,0.0,514.0,8.0,14.0,96.0,0.0,0.0,0.0
Tank Bigsby,RB,PHI,RB52,17.0,3.95,52.3,52.3,0.0,0.0,0.0,356.0,2.0,3.0,32.0,0.0,0.0,0.0
Khalil Shakir,WR,BUF,WR46,16.0,7.87,130.4,130.4,0.0,0.0,0.0,5.0,0.0,72.0,719.0,4.0,1.0,0.0
Tyjae Spears,RB,TEN,RB44,13.0,6.96,89.2,89.2,0.0,0.0,0.0,283.0,2.0,45.0,264.0,0.0,0.0,0.0
Juwan Johnson,TE,NO,TE13,17.0,7.13,141.4,141.4,0.0,0.0,0.0,0.0,0.0,77.0,889.0,3.0,2.0,0.0
Jonah Coleman,RB,DEN,RB56,,3.32,0.0,0.0,,,,,,,,,,
Denzel Boston,WR,CLE,WR57,,6.01,0.0,0.0,,,,,,,,,,
Jake Ferguson,TE,DAL,TE11,17.0,7.39,147.1,147.1,0.0,0.0,0.0,1.0,0.0,82.0,600.0,8.0,2.0,1.0
Keenan Allen,WR,IND,WR105,17.0,5.89,142.2,142.2,0.0,0.0,0.0,0.0,0.0,81.0,777.0,4.0,0.0,0.0
Adonai Mitchell,WR,NYJ,WR59,16.0,5.88,71.4,71.4,0.0,0.0,0.0,-4.0,0.0,33.0,453.0,2.0,1.0,0.0
Tre Tucker,WR,LV,WR53,17.0,7.34,133.2,133.2,0.0,0.0,0.0,51.0,0.0,57.0,696.0,5.0,0.0,0.0
Dalton Schultz,TE,HOU,TE18,17.0,6.71,136.7,136.7,0.0,0.0,0.0,0.0,0.0,82.0,777.0,3.0,0.0,0.0
Deebo Samuel Sr.,WR,SF,WR86,16.0,7.32,152.2,152.2,0.0,0.0,0.0,75.0,1.0,72.0,727.0,5.0,0.0,0.0
Sam Darnold,QB,SEA,QB22,17.0,15.51,249.42,235.42,4048.0,25.0,14.0,95.0,0.0,0.0,0.0,0.0,6.0,2.0
Jalen McMillan,WR,TB,WR56,4.0,6.05,23.9,23.9,0.0,0.0,0.0,1.0,0.0,12.0,178.0,0.0,0.0,0.0
Ray Davis,RB,BUF,RB62,17.0,2.81,64.1,53.1,0.0,0.0,0.0,275.0,0.0,10.0,86.0,2.0,0.0,0.0
Dontayvion Wicks,WR,PHI,WR62,14.0,5.87,60.8,60.8,0.0,0.0,0.0,6.0,0.0,30.0,332.0,2.0,0.0,0.0
Chig Okonkwo,TE,WAS,TE22,17.0,6.02,96.0,96.0,0.0,0.0,0.0,0.0,0.0,56.0,560.0,2.0,0.0,0.0
Terrance Ferguson,TE,LAR,TE24,14.0,4.72,46.6,46.6,0.0,0.0,0.0,0.0,0.0,11.0,231.0,3.0,0.0,0.0
Pat Bryant,WR,DEN,WR78,15.0,4.82,59.3,59.3,0.0,0.0,0.0,0.0,0.0,31.0,378.0,1.0,0.0,0.0
Braelon Allen,RB,NYJ,RB55,4.0,3.79,14.3,14.3,0.0,0.0,0.0,76.0,1.0,2.0,17.0,0.0,1.0,0.0
Kaelon Black,RB,SF,RB69,,2.38,0.0,0.0,,,,,,,,,,
Brian Robinson,RB,ATL,RB50,17.0,4.57,58.5,58.5,0.0,0.0,0.0,400.0,2.0,8.0,25.0,0.0,0.0,0.0
C.J. Stroud,QB,HOU,QB23,14.0,15.99,216.54,208.54,3041.0,19.0,8.0,209.0,1.0,0.0,0.0,0.0,0.0,0.0
Ryan Flournoy,WR,DAL,WR63,16.0,5.2,94.0,94.0,0.0,0.0,0.0,25.0,0.0,40.0,475.0,4.0,0.0,0.0
Daniel Jones,QB,IND,QB25,13.0,15.63,234.44,226.44,3101.0,19.0,8.0,164.0,5.0,0.0,0.0,0.0,3.0,1.0
Hunter Henry,TE,NE,TE16,17.0,7.05,148.8,148.8,0.0,0.0,0.0,0.0,0.0,60.0,768.0,7.0,0.0,0.0
Brenton Strange,TE,JAX,TE17,12.0,6.3,95.0,95.0,0.0,0.0,0.0,0.0,0.0,46.0,540.0,3.0,0.0,0.0
Emmett Johnson,RB,KC,RB65,,2.8,0.0,0.0,,,,,,,,,,
Caleb Douglas,WR,MIA,WR112,,5.19,0.0,0.0,,,,,,,,,,
Ja'Kobi Lane,WR,BAL,WR79,,4.17,0.0,0.0,,,,,,,,,,
Kayshon Boutte,WR,HOU,WR67,14.0,5.98,107.6,107.6,0.0,0.0,0.0,0.0,0.0,33.0,551.0,6.0,0.0,0.0
Travis Hunter,WR,JAX,WR97,7.0,3.82,49.8,49.8,0.0,0.0,0.0,0.0,0.0,28.0,298.0,1.0,0.0,0.0
Cyrus Allen,WR,KC,WR120,,2.13,0.0,0.0,,,,,,,,,,
Jalen Nailor,WR,LV,WR54,17.0,6.62,86.2,86.2,0.0,0.0,0.0,13.0,0.0,29.0,444.0,4.0,0.0,1.0
Isiah Pacheco,RB,DET,RB49,13.0,4.97,77.8,77.8,0.0,0.0,0.0,462.0,1.0,19.0,101.0,1.0,0.0,0.0
Cam Ward,QB,TEN,QB29,17.0,14.64,193.66,186.66,3169.0,15.0,7.0,159.0,2.0,0.0,0.0,0.0,7.0,0.0
AJ Barner,TE,SEA,TE23,17.0,6.1,121.3,121.3,0.0,0.0,0.0,14.0,1.0,52.0,519.0,6.0,0.0,0.0
Dylan Sampson,RB,CLE,RB46,15.0,4.95,71.1,71.1,0.0,0.0,0.0,175.0,0.0,33.0,271.0,2.0,1.0,0.0
Bryce Young,QB,CAR,QB24,16.0,15.16,234.04,218.04,3011.0,23.0,11.0,216.0,2.0,0.0,0.0,0.0,4.0,1.0
Alvin Kamara,RB,NO,RB59,11.0,2.13,84.2,84.2,0.0,0.0,0.0,471.0,1.0,33.0,186.0,0.0,2.0,0.0
Tre' Harris,WR,LAC,WR69,17.0,4.95,54.4,54.4,0.0,0.0,0.0,10.0,0.0,30.0,324.0,1.0,0.0,0.0
Devaughn Vele,WR,NO,WR76,13.0,6.57,53.8,53.8,0.0,0.0,0.0,0.0,0.0,25.0,293.0,2.0,0.0,0.0
Jaylin Noel,WR,HOU,WR94,17.0,4.32,55.4,55.4,0.0,0.0,0.0,12.0,0.0,26.0,292.0,2.0,0.0,0.0
Greg Dulcich,TE,MIA,TE26,10.0,5.61,49.8,49.8,0.0,0.0,0.0,-7.0,0.0,26.0,335.0,1.0,1.0,0.0
Jerry Jeudy,WR,CLE,WR58,17.0,5.77,95.7,95.7,0.0,0.0,0.0,5.0,0.0,50.0,602.0,2.0,1.0,0.0
Malik Washington,WR,MIA,WR64,17.0,6.04,93.7,87.7,0.0,0.0,0.0,110.0,1.0,46.0,317.0,3.0,1.0,0.0
Kenyon Sadiq,TE,NYJ,TE27,,4.14,0.0,0.0,,,,,,,,,,
Demond Claiborne,RB,MIN,RB77,,1.42,0.0,0.0,,,,,,,,,,
Najee Harris,RB,NYG,RB83,3.0,2.78,10.1,10.1,0.0,0.0,0.0,61.0,0.0,3.0,25.0,0.0,0.0,0.0
Omar Cooper Jr.,WR,NYJ,WR68,,3.77,0.0,0.0,,,,,,,,,,
Nicholas Singleton,RB,TEN,RB74,,1.88,0.0,0.0,,,,,,,,,,
Kaytron Allen,RB,WAS,RB73,,1.26,0.0,0.0,,,,,,,,,,
George Holani,RB,SEA,RB58,11.0,3.56,13.8,13.8,0.0,0.0,0.0,73.0,1.0,2.0,15.0,0.0,1.0,0.0
T.J. Hockenson,TE,MIN,TE21,15.0,6.49,87.3,87.3,0.0,0.0,0.0,0.0,0.0,51.0,438.0,3.0,0.0,0.0
Jacoby Brissett,QB,ARI,QB27,14.0,13.84,245.44,227.44,3366.0,23.0,8.0,168.0,1.0,0.0,0.0,0.0,4.0,1.0
Chris Bell,WR,MIA,WR101,,1.34,0.0,0.0,,,,,,,,,,
Jauan Jennings,WR,MIN,WR55,15.0,5.89,145.8,145.8,0.0,0.0,0.0,0.0,0.0,55.0,643.0,9.0,1.0,1.0
Zachariah Branch,WR,ATL,WR75,,2.95,0.0,0.0,,,,,,,,,,
Oronde Gadsden,TE,LAC,TE20,15.0,3.72,111.9,106.9,0.0,0.0,0.0,0.0,0.0,49.0,664.0,3.0,1.0,0.0
Gunnar Helm,TE,TEN,TE28,16.0,5.52,69.7,69.7,0.0,0.0,0.0,0.0,0.0,44.0,357.0,2.0,0.0,0.0
Tyrone Tracy Jr.,RB,NYG,RB43,15.0,3.72,142.8,142.8,0.0,0.0,0.0,740.0,2.0,36.0,288.0,2.0,1.0,0.0
Rashod Bateman,WR,BAL,WR70,13.0,5.85,45.9,45.9,0.0,0.0,0.0,0.0,0.0,19.0,224.0,2.0,0.0,1.0
Jaydon Blue,RB,DAL,RB54,5.0,2.6,19.9,19.9,0.0,0.0,0.0,129.0,1.0,1.0,5.0,0.0,0.0,0.0
James Conner,RB,ARI,RB72,3.0,1.71,29.3,29.3,0.0,0.0,0.0,95.0,1.0,8.0,38.0,1.0,0.0,0.0
Adam Randall,RB,BAL,RB86,,0.89,0.0,0.0,,,,,,,,,,
