"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"84",7,"Wan'Dale Robinson",TEN,"WR38","9","4 out of 5","3 out of 5","3 out of 5 stars","+14","+1.1","43% (7/16)"
"85",7,"Sam LaPorta",DET,"TE8","6","4 out of 5","3 out of 5","3 out of 5 stars","-11","+0.7","44% (4/9)"
"86",7,"Josh Downs",IND,"WR39","13","3 out of 5","4 out of 5","4 out of 5 stars","+26","-0.5","46% (7/15)"
"87",7,"Michael Wilson",ARI,"WR40","14","-","-","2 out of 5 stars","-2","+2.4","68% (11/16)"
"88",7,"Rico Dowdle",PIT,"RB30","9","4 out of 5","4 out of 5","2 out of 5 stars","-10","+1.1","31% (5/16)"
"89",7,"Jonathon Brooks",CAR,"RB31","5","4 out of 5","4 out of 5","1 out of 5 stars","-7","-","-"
"90",7,"Quentin Johnston",LAC,"WR41","7","4 out of 5","4 out of 5","2 out of 5 stars","+18","+0.9","57% (8/14)"
"91",7,"RJ Harvey",DEN,"RB32","10","2 out of 5","4 out of 5","2 out of 5 stars","-8","+2.0","50% (8/16)"
"92",7,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+18","+4.6","87% (7/8)"
"93",8,"Jaxson Dart",NYG,"QB12","8","5 out of 5","4 out of 5","4 out of 5 stars","-2","+2.2","64% (9/14)"
"94",8,"Travis Kelce",KC,"TE9","5","3 out of 5","3 out of 5","4 out of 5 stars","+1","+0.2","50% (8/16)"
"95",8,"Bo Nix",DEN,"QB13","10","4 out of 5","2 out of 5","3 out of 5 stars","+14","+1.0","50% (8/16)"
"96",8,"George Kittle",SF,"TE10","8","4 out of 5","4 out of 5","3 out of 5 stars","-9","+1.6","50% (5/10)"
"97",8,"Chuba Hubbard",CAR,"RB33","5","2 out of 5","4 out of 5","1 out of 5 stars","-8","-1.1","28% (4/14)"
"98",8,"Kenny Gainwell",TB,"RB34","10","4 out of 5","3 out of 5","2 out of 5 stars","-2","+2.4","43% (7/16)"
"99",8,"Alec Pierce",IND,"WR42","13","4 out of 5","4 out of 5","4 out of 5 stars","-6","+2.5","64% (9/14)"
"100",8,"J.K. Dobbins",DEN,"RB35","10","4 out of 5","4 out of 5","2 out of 5 stars","-12","0.0","50% (5/10)"
"101",8,"Patrick Mahomes II",KC,"QB14","5","2 out of 5","4 out of 5","2 out of 5 stars","+3","-","-"
"102",8,"Stefon Diggs",WAS,"WR43","7","4 out of 5","2 out of 5","2 out of 5 stars","0","+0.1","50% (8/16)"
"103",8,"Jayden Reed",GB,"WR44","11","4 out of 5","4 out of 5","5 out of 5 stars","+16","-1.9","33% (2/6)"
