player,position,nfl_team,fp_overall_rank,fp_position_rank,fp_tier,price_fp_rank_curve_REFERENCE_ONLY,price_fp_vbd_position_rank_REFERENCE_ONLY
Ja'Kobi Lane,WR,BAL,231,82,11,6.0,
Cade Otton,TE,TB,233,28,11,5.0,
Germie Bernard,WR,PIT,234,83,11,5.0,
Emanuel Wilson,RB,SEA,235,66,11,5.0,3.0
Zachariah Branch,WR,ATL,236,84,11,5.0,
Greg Dulcich,TE,MIA,237,29,11,5.0,
Justice Hill,RB,BAL,238,67,11,5.0,2.0
Antonio Williams,WR,WAS,239,85,11,5.0,
George Holani,RB,SEA,240,68,11,5.0,1.0
Caleb Douglas,WR,MIA,241,86,11,5.0,
Jaylen Wright,RB,MIA,242,69,11,5.0,
Kaelon Black,RB,SF,243,70,11,5.0,
Malachi Fields,WR,NYG,244,87,11,5.0,
Evan Engram,TE,DEN,246,30,11,5.0,
Devaughn Vele,WR,NO,247,88,11,5.0,
Jack Bech,WR,LV,248,89,11,5.0,
David Njoku,TE,LAC,250,31,11,5.0,
Chris Bell,WR,MIA,252,91,12,5.0,
Ted Hurst III,WR,TB,253,92,12,5.0,
Fernando Mendoza,QB,LV,254,30,12,5.0,
Chimere Dike,WR,TEN,255,93,12,5.0,
Ollie Gordon II,RB,MIA,256,71,12,5.0,
Isaiah Davis,RB,NYJ,257,72,12,5.0,
Demond Claiborne,RB,MIN,258,73,12,5.0,
Najee Harris,RB,NYG,259,74,12,5.0,
Elic Ayomanor,WR,TEN,260,94,12,5.0,
Ty Johnson,RB,BUF,261,75,12,5.0,
Samaje Perine,RB,CIN,262,76,12,5.0,
Colby Parkinson,TE,LAR,263,32,12,5.0,
Cyrus Allen,WR,KC,264,95,12,5.0,
LeQuint Allen Jr.,RB,JAC,265,77,12,5.0,
Jordan James,RB,SF,266,78,12,5.0,
Tory Horton,WR,SEA,267,96,12,5.0,
Tua Tagovailoa,QB,ATL,269,31,12,5.0,
Tyquan Thornton,WR,KC,270,97,12,5.0,
Darius Slayton,WR,NYG,272,98,12,5.0,
Chris Brooks,RB,GB,273,79,12,5.0,
Elijah Sarratt,WR,BAL,274,99,12,5.0,
Mason Taylor,TE,NYJ,276,33,12,5.0,
Xavier Legette,WR,CAR,277,101,12,5.0,
Malik Davis,RB,DAL,278,80,12,5.0,
Michael Penix Jr.,QB,ATL,279,32,12,5.0,
Marvin Mims Jr.,WR,DEN,280,102,12,5.0,
Theo Johnson,TE,NYG,282,34,12,5.0,
Kirk Cousins,QB,LV,284,33,12,5.0,
DJ Giddens,RB,IND,285,81,12,5.0,
Devin Neal,RB,NO,286,82,12,5.0,
Deshaun Watson,QB,CLE,287,34,12,5.0,
Seth McGowan,RB,IND,288,83,12,5.0,
Eli Stowers,TE,PHI,290,35,12,5.0,
Shedeur Sanders,QB,CLE,291,35,12,5.0,
Kendre Miller,RB,NO,292,84,12,5.0,
Kyle Williams,WR,NE,293,103,12,5.0,
Brashard Smith,RB,KC,294,85,12,5.0,
Emari Demercado,RB,KC,295,86,12,5.0,
Hollywood Brown,WR,PHI,296,104,12,5.0,
Adam Randall,RB,BAL,297,87,12,5.0,
Mike Gesicki,TE,CIN,298,36,12,5.0,
Devin Singletary,RB,NYG,299,88,12,5.0,
Mack Hollins,WR,NE,300,105,12,5.0,
Isaiah Bond,WR,CLE,301,106,13,5.0,
Trey Benson,RB,ARI,302,89,13,5.0,
Skyler Bell,WR,BUF,303,107,13,5.0,
Kaleb Johnson,RB,PIT,305,90,13,5.0,
Darren Waller,TE,CAR,306,37,13,5.0,
Trevor Etienne,RB,CAR,307,91,13,4.0,
Brandon Aiyuk,WR,SF,308,108,13,4.0,
Jake Tonges,TE,SF,309,38,13,4.0,
Jarquez Hunter,RB,MIA,311,92,13,4.0,
Andrei Iosivas,WR,CIN,313,109,13,4.0,
Isaac Guerendo,RB,SF,314,93,13,4.0,
Jerome Ford,RB,WAS,315,94,13,4.0,
Jaleel McLaughlin,RB,DEN,316,95,13,4.0,
DeMario Douglas,WR,NE,317,110,13,4.0,
Audric Estime,RB,NO,318,96,13,4.0,
Tahj Brooks,RB,CIN,319,97,13,4.0,
Darnell Washington,TE,PIT,320,39,13,4.0,
Jahan Dotson,WR,ATL,321,111,13,4.0,
Oscar Delp,TE,NO,322,40,13,4.0,
Tyreek Hill,WR,FA,323,112,13,4.0,
Michael Mayer,TE,LV,324,41,13,4.0,
Will Shipley,RB,PHI,325,98,13,4.0,
Elijah Arroyo,TE,SEA,326,42,13,4.0,
Charlie Kolar,TE,LAC,327,43,13,4.0,
Bryce Lance,WR,NO,328,113,13,4.0,
Jalen Tolbert,WR,MIA,329,114,13,4.0,
Xavier Hutchinson,WR,HOU,330,115,13,4.0,
Carson Beck,QB,ARI,332,36,13,4.0,
Cole Kmet,TE,CHI,333,44,13,4.0,
Erick All Jr.,TE,CIN,334,45,13,4.0,
J.J. McCarthy,QB,MIN,335,37,13,4.0,
Tyler Higbee,TE,LAR,336,46,13,4.0,
Tez Johnson,WR,TB,337,116,13,4.0,
Eli Raridon,TE,NE,338,47,13,4.0,
Konata Mumpfield,WR,LAR,339,117,13,4.0,
Olamide Zaccheaus,WR,ATL,340,118,13,4.0,
Jalen Royals,WR,KC,341,119,13,4.0,
Kendrick Bourne,WR,ARI,342,120,13,4.0,
Luke McCaffrey,WR,WAS,343,121,13,4.0,
Bam Knight,RB,ARI,344,99,13,4.0,
Cedric Tillman,WR,FA,345,122,13,4.0,
Joe Mixon,RB,FA,346,100,13,4.0,
Kareem Hunt,RB,FA,347,101,13,4.0,
Dawson Knox,TE,BUF,348,48,14,4.0,
Brenen Thompson,WR,LAC,349,123,14,4.0,
Max Klare,TE,LAR,350,49,14,4.0,
Joshua Palmer,WR,BUF,351,124,14,4.0,
Noah Gray,TE,KC,352,50,14,4.0,
Mac Jones,QB,SF,353,38,14,4.0,
Chris Brazzell II,WR,CAR,354,125,14,4.0,
Treylon Burks,WR,WAS,356,126,14,4.0,
Ja'Tavion Sanders,TE,CAR,357,51,14,4.0,
Eli Heidenreich,RB,PIT,360,102,14,4.0,
Malik Benson,WR,LV,363,127,14,4.0,
Justin Fields,QB,KC,364,39,14,4.0,
Jawhar Jordan,RB,HOU,365,103,14,4.0,
Justin Joly,TE,DEN,366,52,14,4.0,
Roman Wilson,WR,PIT,367,128,14,4.0,
Ty Simpson,QB,LAR,369,40,14,4.0,
Savion Williams,WR,GB,372,129,14,4.0,
Michael Carter,RB,TEN,373,104,14,4.0,
Kalif Raymond,WR,CHI,375,130,14,4.0,
KaVontae Turpin,WR,DAL,376,131,14,4.0,
Kevin Coleman Jr.,WR,MIA,377,132,14,4.0,
Raheim Sanders,RB,CLE,378,105,14,4.0,
Dont'e Thornton Jr.,WR,LV,380,133,14,4.0,
Zavion Thomas,WR,CHI,381,134,14,4.0,
Colbie Young,WR,CIN,382,135,14,4.0,
Noah Fant,TE,NO,383,53,14,4.0,
Kyle Juszczyk,RB,SF,384,106,14,4.0,
Anthony Richardson Sr.,QB,IND,385,41,14,4.0,
Joe Flacco,QB,CIN,386,42,14,4.0,
Tutu Atwell,WR,LAR,387,136,14,4.0,
John Metchie III,WR,CAR,389,137,14,4.0,
Nick Westbrook-Ikhine,WR,IND,390,138,14,4.0,
Phil Mafah,RB,DAL,391,107,14,4.0,
J'Mari Taylor,RB,JAC,392,108,14,4.0,
Demarcus Robinson,WR,SF,393,139,14,4.0,
CJ Daniels,WR,LAR,394,140,14,4.0,
Jaylin Lane,WR,WAS,396,141,14,4.0,
Devontez Walker,WR,BAL,397,142,14,4.0,
Roschon Johnson,RB,CHI,398,109,14,4.0,
Luke Musgrave,TE,GB,400,54,14,4.0,
Ashton Dulin,WR,IND,402,143,14,4.0,
Jameis Winston,QB,NYG,406,43,14,4.0,
Tommy Tremble,TE,CAR,407,55,14,4.0,
Marcus Mariota,QB,WAS,410,44,14,4.0,
Jam Miller,RB,NE,412,110,14,4.0,
Jordan Whittington,WR,LAR,413,144,14,4.0,
Barion Brown,WR,NO,414,145,14,4.0,
Rasheen Ali,RB,BAL,415,111,14,4.0,
Sione Vaki,RB,DET,416,112,14,4.0,
Cade Klubnik,QB,NYJ,417,45,15,4.0,
Ben Sinnott,TE,WAS,419,56,15,4.0,
Joe Milton III,QB,DAL,420,46,15,4.0,
John Bates,TE,WAS,421,57,15,4.0,
Elijah Higgins,TE,ARI,422,58,15,4.0,
Austin Hooper,TE,ATL,423,59,15,4.0,
Isaiah Williams,WR,NYJ,424,146,15,4.0,
Mitchell Evans,TE,CAR,425,60,15,4.0,
Daniel Bellinger,TE,TEN,426,61,15,4.0,
Dyami Brown,WR,WAS,428,147,15,4.0,
Greg Dortch,WR,DET,429,148,15,4.0,
Tyler Goodson,RB,ATL,430,113,15,4.0,
Tommy Myers,TE,FA,431,62,15,4.0,
Odell Beckham Jr.,WR,NYG,432,149,15,4.0,
Hunter Luepke,RB,DAL,433,114,15,4.0,
Dameon Pierce,RB,PHI,434,115,15,3.0,
Deion Burks,WR,IND,436,150,15,3.0,
Terrell Jennings,RB,FA,437,117,15,3.0,
Van Jefferson,WR,WAS,439,151,15,3.0,
Tai Felton,WR,MIN,442,152,15,3.0,
Marlin Klein,TE,HOU,443,63,15,3.0,
Zach Ertz,TE,FA,444,64,15,3.0,
Zavier Scott,RB,MIN,445,118,15,3.0,
Matt Hibner,TE,BAL,446,65,15,3.0,
Isaiah Williams,WR,FA,447,153,15,3.0,
Alec Ingold,RB,LAC,448,119,15,3.0,
Jeremy McNichols,RB,WAS,449,120,15,3.0,
Reggie Gilliam,RB,NE,450,121,15,3.0,
Robert Henry Jr.,RB,WAS,451,122,15,3.0,
Jonnu Smith,TE,GB,452,66,15,3.0,
Ronnie Rivers,RB,LAR,453,123,15,3.0,
Josh Williams,RB,TB,454,124,15,3.0,
Dylan Laube,RB,LV,455,125,15,3.0,
Jahdae Walker,WR,CHI,457,154,15,3.0,
Roman Hemby,RB,LV,458,126,15,3.0,
Mitch Tinsley,WR,CIN,459,155,15,3.0,
Tyler Badie,RB,DEN,460,127,15,3.0,
Patrick Ricard,RB,NYG,461,128,15,3.0,
Elijah Moore,WR,PHI,462,156,15,3.0,
Will Kacmarek,TE,MIA,463,67,15,3.0,
Damien Martinez,RB,GB,464,129,15,3.0,
Riley Leonard,QB,IND,465,47,15,3.0,
Khalil Herbert,RB,SF,466,130,15,3.0,
DeAndre Hopkins,WR,BAL,467,157,15,3.0,
Josh Oliver,TE,MIN,468,68,15,3.0,
Max Bredeson,RB,MIN,469,131,15,3.0,
Tanner Koziol,TE,JAC,470,69,15,3.0,
Tyler Lockett,WR,LV,471,158,15,3.0,
Adam Prentice,RB,DEN,472,132,15,3.0,
Jordan Watkins,WR,SF,473,159,15,3.0,
Antonio Gibson,RB,FA,474,133,15,3.0,
Xavier Smith,WR,LAR,475,160,15,3.0,
Jacob Cowing,WR,SF,476,161,15,3.0,
Quinn Ewers,QB,MIA,477,48,15,3.0,
British Brooks,RB,HOU,478,134,15,3.0,
Cade Stover,TE,HOU,479,70,15,3.0,
Jimmy Horn Jr.,WR,CAR,480,162,15,3.0,
Tim Patrick,WR,NYJ,481,163,15,3.0,
Lew Nichols III,RB,PIT,482,135,15,3.0,
Drew Allar,QB,PIT,483,49,15,3.0,
Marquez Valdes-Scantling,WR,DAL,484,164,15,3.0,
Jacob Saylors,RB,DET,485,136,15,3.0,
Chris Blair,WR,ATL,486,165,16,3.0,
Jackson Hawes,TE,BUF,487,71,16,3.0,
Tyrod Taylor,QB,GB,488,50,16,3.0,
Moliki Matavao,TE,NO,489,72,16,3.0,
Jake Browning,QB,TB,490,51,16,3.0,
Michael Woods II,WR,DEN,491,166,16,3.0,
Jalen Reagor,WR,MIA,492,167,16,3.0,
Xavier Restrepo,WR,TEN,493,168,16,3.0,
Frank Gore Jr.,RB,BUF,494,137,16,3.0,
Drew Sample,TE,CIN,495,73,16,3.0,
Adam Trautman,TE,DEN,496,74,16,3.0,
Kene Nwangwu,RB,NYJ,498,138,16,3.0,
Reggie Virgil,WR,ARI,499,169,16,3.0,
Sam Roush,TE,CHI,500,75,16,3.0,
Gardner Minshew II,QB,ARI,501,52,16,3.0,
Noah Whittington,RB,HOU,502,139,16,3.0,
Cash Jones,RB,ATL,503,140,16,3.0,
Michael Burton,RB,CLE,504,141,16,3.0,
Durham Smythe,TE,BAL,505,76,16,3.0,
Tyson Bagent,QB,CHI,506,53,16,3.0,
Nate Boerkircher,TE,JAC,507,77,16,3.0,
Jeremy Ruckert,TE,NYJ,508,78,16,3.0,
KeAndre Lambert-Smith,WR,LAC,509,170,16,3.0,
Tanner Hudson,TE,CIN,510,79,16,3.0,
Tyler Conklin,TE,DET,511,80,16,3.0,
Luke Schoonmaker,TE,DAL,512,81,16,3.0,
Jaret Patterson,RB,LAC,513,142,16,3.0,
Josh Cameron,WR,JAC,514,171,16,3.0,
Velus Jones Jr.,WR,SEA,515,172,16,3.0,
Jaydn Ott,RB,KC,516,143,16,3.0,
Trey Lance,QB,LAC,517,54,16,3.0,
Lil'Jordan Humphrey,WR,DEN,518,173,16,3.0,
