player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,historical_salary_if_known,notes
Eli Raridon,TE,NE,33.55,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #338, tier 13"
Olamide Zaccheaus,WR,ATL,41.59,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #340, tier 13"
Kendrick Bourne,WR,ARI,56.62,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #342, tier 13"
Audric Estime,RB,NO,12.38,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #318, tier 13"
Theo Johnson,TE,,56.7,0.0,1.0,1.0,
Andrei Iosivas,WR,CIN,65.06,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #313, tier 13"
Kyle Williams,WR,NE,37.34,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #293, tier 12"
Malik Davis,RB,DAL,30.01,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #278, tier 12"
Michael Penix Jr.,QB,ATL,122.75,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #279, tier 12"
Marvin Mims Jr.,WR,DEN,47.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #280, tier 12"
Kirk Cousins,QB,LV,50.52,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #284, tier 12"
DJ Giddens,RB,IND,33.72,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #285, tier 12"
Deshaun Watson,QB,CLE,101.26,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #287, tier 12"
Seth McGowan,RB,IND,34.66,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #288, tier 12"
Eli Stowers,TE,PHI,48.79,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #290, tier 12"
Shedeur Sanders,QB,CLE,101.58,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #291, tier 12"
Kendre Miller,RB,NO,19.51,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #292, tier 12"
Brashard Smith,RB,KC,31.53,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #294, tier 12"
Jake Tonges,TE,SF,46.75,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #309, tier 13"
Emari Demercado,RB,KC,26.21,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #295, tier 12"
Hollywood Brown,WR,PHI,41.95,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #296, tier 12"
Adam Randall,RB,BAL,33.18,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #297, tier 12"
Mike Gesicki,TE,CIN,71.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #298, tier 12"
Devin Singletary,RB,NYG,24.69,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #299, tier 12"
Mack Hollins,WR,NE,34.99,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #300, tier 12"
Isaiah Bond,WR,CLE,48.37,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #301, tier 13"
Skyler Bell,WR,BUF,38.52,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #303, tier 13"
Trevor Etienne,RB,CAR,27.98,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #307, tier 13"
Bam Knight,RB,ARI,6.21,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #344, tier 13"
Luke McCaffrey,WR,WAS,24.25,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #343, tier 13"
Noah Gray,TE,KC,42.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #352, tier 14"
Dawson Knox,TE,BUF,58.6,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #348, tier 14"
Tyler Goodson,RB,ATL,11.22,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #430, tier 15"
Roschon Johnson,RB,CHI,12.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #398, tier 14"
Ashton Dulin,WR,IND,25.13,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #402, tier 14"
Tommy Tremble,TE,CAR,27.95,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #407, tier 14"
Ben Sinnott,TE,WAS,28.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #419, tier 15"
Elijah Higgins,TE,ARI,36.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #422, tier 15"
Austin Hooper,TE,ATL,31.35,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #423, tier 15"
Mitchell Evans,TE,CAR,16.86,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #425, tier 15"
Daniel Bellinger,TE,TEN,39.7,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #426, tier 15"
