player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,historical_salary_if_known,notes
DeAndre Hopkins,WR,BAL,56.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #467, tier 15"
Velus Jones Jr.,WR,SEA,3.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #515, tier 16"
Josh Oliver,TE,MIN,47.5,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #468, tier 15"
Tyler Lockett,WR,LV,51.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #471, tier 15"
Kendrick Bourne,WR,ARI,73.6,5.099999999999994,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #342, tier 13"
Jordan Love,QB,GB,235.14,8.559999999999974,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #121, tier 8"
Olamide Zaccheaus,WR,ATL,65.3,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #340, tier 13"
Konata Mumpfield,WR,LAR,20.2,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #339, tier 13"
Luther Burden,WR,,,,1.0,1.0,
Evan Hull,RB,,5.9,0.0,1.0,1.0,
Tet McMillan,WR,,,,1.0,1.0,
Xavier Legette,WR,,71.8,3.299999999999997,1.0,1.0,
Malik Nabers,WR,NYG,48.1,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #23, tier 4"
Garrett Wilson,WR,NYJ,81.5,13.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #29, tier 4"
Jayden Daniels,QB,WAS,114.28,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #52, tier 6"
Sam LaPorta,TE,DET,86.9,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #85, tier 7"
