player,position,nfl_team,projected_points,VBD_score,suggested_auction_price,hypothetical_open_market_value,historical_salary_if_known,notes
Trey Benson,RB,,11.03,0.0,2.0,2.0,11.0,
Christian Kirk,WR,,37.77,0.0,2.0,2.0,19.0,
Rashod Bateman,WR,,79.23,0.0,2.0,2.0,15.0,
Tre Tucker,WR,,95.11,5.68142857142857,2.0,2.0,1.0,
Baker Mayfield,QB,,243.4,1.035499999999999,2.0,2.0,11.0,
Bo Nix,QB,,262.52,2.855499999999992,2.0,1.0,,no salary on record
Kyler Murray,QB,,255.34,1.035499999999999,2.0,2.0,16.0,on IR
Matthew Stafford,QB,,250.22,1.035499999999999,1.0,1.0,1.0,
Pat Bryant,WR,,79.5,0.11038461538461501,1.0,1.0,7.0,
Malik Davis,RB,DAL,30.01,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #278, tier 12"
Devin Neal,RB,,15.95,0.6152941176470589,1.0,1.0,1.0,
Chris Brooks,RB,GB,38.97,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #273, tier 12"
Kaytron Allen,RB,WAS,42.77,0.7330000000000002,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #230, tier 11"
Cedric Tillman,WR,,19.7,0.0,1.0,1.0,5.0,
Najee Harris,RB,,41.47,0.6152941176470589,1.0,1.0,8.0,
Jordan James,RB,SF,50.45,1.3702941176470613,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #266, tier 12"
Isaiah Davis,RB,,45.95,0.6152941176470589,1.0,1.0,1.0,
LeQuint Allen Jr.,RB,JAC,38.64,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #265, tier 12"
Demond Claiborne,RB,MIN,32.59,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #258, tier 12"
Sean Tucker,RB,TB,48.94,0.7330000000000002,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #202, tier 11"
Jalen Nailor,WR,LV,94.21,1.0753846153846114,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #185, tier 10"
Kendre Miller,RB,NO,19.51,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #292, tier 12"
George Holani,RB,SEA,36.01,0.7330000000000002,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #240, tier 11"
Seth McGowan,RB,IND,34.66,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #288, tier 12"
Jaylen Wright,RB,MIA,47.44,0.7330000000000002,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #242, tier 11"
DJ Giddens,RB,IND,33.72,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #285, tier 12"
Kaelon Black,RB,SF,47.43,0.7330000000000002,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #243, tier 11"
Nicholas Singleton,RB,TEN,48.11,0.7330000000000002,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #208, tier 11"
Tyler Shough,QB,NO,258.88,1.035499999999999,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #125, tier 8"
Adam Randall,RB,BAL,33.18,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #297, tier 12"
Emanuel Wilson,RB,,38.92,0.7330000000000002,1.0,1.0,1.0,
Malik Willis,QB,MIA,253.88,1.035499999999999,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #128, tier 8"
Emari Demercado,RB,KC,26.21,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #295, tier 12"
Brashard Smith,RB,KC,31.53,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #294, tier 12"
Jalen McMillan,WR,,92.48,0.21038461538461645,1.0,1.0,2.0,
Devin Singletary,RB,NYG,24.69,0.6152941176470589,1.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #299, tier 12"
Jameis Winston,QB,NYG,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #406, tier 14; anchor imputed via position_median_fallback"
Ashton Dulin,WR,IND,25.13,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #402, tier 14"
Luke Musgrave,TE,GB,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #400, tier 14; anchor imputed via position_median_fallback"
Tommy Tremble,TE,CAR,27.95,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #407, tier 14"
Marcus Mariota,QB,WAS,,,0.0,1.0,16.0,"not on a 2025 league roster -- FantasyPros 2026 rank #410, tier 14; anchor imputed via position_median_fallback"
Joe Flacco,QB,CIN,28.58,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #386, tier 14"
Tutu Atwell,WR,LAR,22.9,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #387, tier 14"
John Metchie III,WR,CAR,27.49,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #389, tier 14"
Nick Westbrook-Ikhine,WR,IND,,,0.0,1.0,15.0,"not on a 2025 league roster -- FantasyPros 2026 rank #390, tier 14; anchor imputed via position_median_fallback"
Phil Mafah,RB,DAL,14.11,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #391, tier 14"
J'Mari Taylor,RB,JAC,,,0.0,1.0,1.0,"not on a 2025 league roster -- FantasyPros 2026 rank #392, tier 14; anchor imputed via tier_median_fallback"
Demarcus Robinson,WR,SF,28.84,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #393, tier 14"
CJ Daniels,WR,LAR,23.65,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #394, tier 14"
Kevin Coleman Jr.,WR,MIA,,,0.0,1.0,15.0,"not on a 2025 league roster -- FantasyPros 2026 rank #377, tier 14; anchor imputed via position_median_fallback"
Raheim Sanders,RB,CLE,16.41,0.0,0.0,1.0,,"not on a 2025 league roster -- FantasyPros 2026 rank #378, tier 14"
