seed,team,player,position,price,projected_points,is_starting_qb,is_starting_rb,is_starting_wr,is_starting_te,is_starting_flex,is_starter
0,Brandon,Keon Coleman,WR,1.0,60.6,False,False,False,False,False,False
0,CJ,Tory Horton,WR,11.0,55.15,False,False,False,False,False,False
0,CJ,Ja'Marr Chase,WR,46.0,266.33,False,False,True,False,False,True
0,CJ,Chase Brown,RB,31.0,227.25,False,True,False,False,False,True
0,CJ,Sam LaPorta,TE,31.0,139.7,False,False,False,True,False,True
0,CJ,Parker Washington,WR,11.0,162.09,False,False,True,False,False,True
0,CJ,Omarion Hampton,RB,6.0,205.65,False,True,False,False,False,True
0,CJ,Bhayshul Tuten,RB,256.0,160.4,False,False,False,False,True,True
0,CJ,Michael Penix Jr.,QB,1.0,122.75,False,False,False,False,False,False
0,CJ,Cade Otton,TE,1.0,85.45,False,False,False,False,True,True
0,CJ,Trey Benson,RB,1.0,11.03,False,False,False,False,False,False
0,CJ,Christian Kirk,WR,1.0,37.77,False,False,False,False,False,False
0,CJ,Adonai Mitchell,WR,1.0,84.34,False,False,False,False,True,True
0,CJ,Justice Hill,RB,1.0,57.9,False,False,False,False,False,False
0,CJ,Kyler Murray,QB,1.0,255.34,True,False,False,False,False,True
0,CJ,Patrick Mahomes,QB,1.0,254.26,False,False,False,False,False,False
0,Coby,Derrick Henry,RB,51.0,227.4,False,True,False,False,False,True
0,Coby,Kyren Williams,RB,31.0,196.2,False,True,False,False,False,True
0,Coby,Brian Thomas Jr,WR,16.0,138.06,False,False,True,False,False,True
0,Coby,Harold Fannin Jr,TE,6.0,141.21,False,False,False,True,False,True
0,Coby,TreVeyon Henderson,RB,11.0,158.6,False,False,False,False,True,True
0,Coby,Quinshon Judkins,RB,11.0,177.8,False,False,False,False,True,True
0,Coby,Jaylen Warren,RB,68.96222222222224,162.0,False,False,False,False,True,True
0,Coby,DeVonta Smith,WR,53.88,189.84,False,False,True,False,False,True
0,Coby,Jonathon Brooks,RB,53.88,148.6,False,False,False,False,False,False
0,Coby,Tony Pollard,RB,54.74,143.2,False,False,False,False,False,False
0,Coby,Aaron Jones Sr,RB,38.506886666666674,131.55,False,False,False,False,False,False
0,Coby,Samaje Perine,RB,1.0300000000000002,68.35,False,False,False,False,False,False
0,Coby,Emmett Johnson,RB,1.0,63.25,False,False,False,False,False,False
0,Coby,Quinn Ewers,QB,1.0,9.68,True,False,False,False,False,True
0,Coby,Juwan Johnson,TE,1.0,111.55,False,False,False,False,False,False
0,Evan,Amon-Ra St Brown,WR,41.0,247.22,False,False,False,False,False,False
0,Evan,Drake London,WR,36.0,221.3,False,False,False,False,False,False
0,Evan,Saquon Barkley,RB,46.0,222.8,False,False,False,False,False,False
0,Evan,George Pickens,WR,41.0,209.94,False,False,False,False,False,False
0,Evan,Puka Nacua,WR,31.0,256.87,False,False,False,False,False,False
0,Evan,Emeka Egbuka,WR,11.0,166.25,False,False,False,False,False,False
0,Evan,Jeremiyah Love,RB,123.256,202.4,False,False,False,False,False,False
0,Evan,Rashee Rice,WR,51.88,197.11,False,False,False,False,False,False
0,Evan,Tank Bigsby,RB,2.0300000000000002,68.64,False,False,False,False,False,False
0,Evan,Jakobi Meyers,WR,1.83,131.61,False,False,False,False,False,False
0,Evan,Baker Mayfield,QB,1.0,243.4,False,False,False,False,False,False
0,Evan,Cooper Kupp,WR,1.0,69.66,False,False,False,False,False,False
0,Evan,Rashod Bateman,WR,1.0,79.23,False,False,False,False,False,False
0,Evan,Keenan Allen,WR,1.0,80.85,False,False,False,False,False,False
0,Evan,Tre Tucker,WR,1.0,95.11,False,False,False,False,False,False
0,James,Wan'Dale Robinson,WR,11.0,133.19,False,False,False,False,True,True
0,James,Trevor Lawrence,QB,11.0,272.04,False,False,False,False,False,False
0,James,Jordan Addison,WR,31.0,131.03,False,False,False,False,True,True
0,James,Zay Flowers,WR,31.0,205.23,False,False,True,False,False,True
0,James,Colston Loveland,TE,6.0,157.08,False,False,False,True,False,True
0,James,Rico Dowdle,RB,13.0,157.15,False,True,False,False,False,True
0,James,James Cook,RB,257.0,234.4,False,True,False,False,False,True
0,James,Terry McLaurin,WR,30.86,173.93,False,False,True,False,False,True
0,James,Travis Kelce,TE,1.6755555555555555,129.94,False,False,False,False,False,False
0,James,George Kittle,TE,1.2777777777777777,130.46,False,False,False,False,True,True
0,James,Braelon Allen,RB,1.6466666666666667,68.77,False,False,False,False,False,False
0,James,Jayden Daniels,QB,1.261111111111111,293.28,True,False,False,False,False,True
0,James,Jonah Coleman,RB,1.2555555555555555,67.3,False,False,False,False,False,False
0,James,Marcus Mariota,QB,1.0,17.15,False,False,False,False,False,False
0,James,Justin Herbert,QB,1.0,263.56,False,False,False,False,False,False
0,Jason,CeeDee Lamb,WR,46.0,224.28,False,False,True,False,False,True
0,Jason,Trey McBride,TE,31.0,188.05,False,False,False,True,False,True
0,Jason,AJ Brown,WR,46.0,194.9,False,False,True,False,False,True
0,Jason,Bijan Robinson,RB,21.0,295.2,False,True,False,False,False,True
0,Jason,Jahmyr Gibbs,RB,31.0,296.35,False,True,False,False,False,True
0,Jason,Luther Burden,WR,11.0,169.58,False,False,False,False,True,True
0,Jason,Bucky Irving,RB,157.46792028308204,175.8,False,False,False,False,True,True
0,Jason,Rachaad White,RB,39.54,127.05,False,False,False,False,False,False
0,Jason,Alvin Kamara,RB,1.2444444444444445,68.7,False,False,False,False,False,False
0,Jason,Isiah Pacheco,RB,1.238888888888889,73.93,False,False,False,False,False,False
0,Jason,CJ Stroud,QB,1.2333333333333334,245.14,True,False,False,False,False,True
0,Jason,AD Mitchell,WR,1.2277777777777779,145.99444444444444,False,False,False,False,True,True
0,Jason,Dalton Kincaid,TE,1.588888888888889,118.1,False,False,False,False,False,False
0,Jason,Isaiah Likely,TE,1.2166666666666668,115.25,False,False,False,False,False,False
0,Jason,Dalton Schultz,TE,1.5744444444444443,109.4,False,False,False,False,False,False
0,Reid,Kyle Pitts Sr,TE,11.0,140.7,False,False,False,False,True,True
0,Reid,Tucker Kraft,TE,21.0,143.34,False,False,False,True,False,True
0,Reid,Drake Maye,QB,30.0,296.32,True,False,False,False,False,True
0,Reid,Chris Olave,WR,41.0,194.65,False,False,True,False,False,True
0,Reid,Jalen Coker,WR,13.0,124.35,False,False,False,False,True,True
0,Reid,Javonte Williams,RB,34.0,196.9,False,True,False,False,False,True
0,Reid,Josh Jacobs,RB,202.12,189.35,False,True,False,False,False,True
0,Reid,Chuba Hubbard,RB,49.471608888888895,143.25,False,False,False,False,True,True
0,Reid,Dallas Goedert,TE,1.2055555555555555,119.45,False,False,False,False,False,False
0,Reid,Tyrone Tracy Jr,RB,1.2,72.35,False,False,False,False,False,False
0,Reid,Jayden Higgins,WR,1.1944444444444444,132.72222222222223,False,False,True,False,False,True
0,Reid,Xavier Worthy,WR,1.5455555555555556,118.5,False,False,False,False,False,False
0,Reid,Brenton Strange,TE,1.1833333333333333,112.65,False,False,False,False,False,False
0,Reid,Jake Ferguson,TE,1.08,117.94,False,False,False,False,False,False
0,Reid,Jordan Love,QB,1.0,256.74,False,False,False,False,False,False
0,Ryan J,Brock Purdy,QB,15.0,256.32,True,False,False,False,False,True
0,Ryan J,Michael Wilson,WR,11.0,132.1,False,False,False,False,False,False
0,Ryan J,Oronde Gadsden,TE,11.0,72.1,False,False,False,True,False,True
0,Ryan J,DeVon Achane,RB,26.0,242.2,False,False,False,False,True,True
0,Ryan J,Ashton Jeanty,RB,6.0,199.4,False,False,False,False,True,True
0,Ryan J,Ladd McConkey,WR,67.0,165.85,False,False,True,False,False,True
0,Ryan J,Jordan Mason,RB,69.47589999999998,137.2,False,False,False,False,False,False
0,Ryan J,Bill Croskey-Merritt,RB,49.0,557.4333333333333,False,True,False,False,False,True
0,Ryan J,JK Dobbins,RB,38.27205315410435,134.15,False,False,False,False,False,False
0,Ryan J,Nick Chubb,RB,25.203550000000003,451.25555555555553,False,True,False,False,False,True
0,Ryan J,Courtland Sutton,WR,19.573304444444446,137.35,False,False,False,False,False,False
0,Ryan J,Romeo Doubs,WR,13.574722222222222,122.25,False,False,False,False,False,False
0,Ryan J,Ricky Pearsall,WR,10.309999999999999,199.08333333333334,False,False,True,False,False,True
