seed,team,keeper_state_status,n_players,n_qb_rostered,legal_roster,has_duplicate_player,lineup_is_legal,lineup_failure_reason,starting_lineup_points,bench_option_value,total_roster_utility,raw_all_rostered_points,budget_remaining_unspent_cash
6,Shane,PARTIALLY_CONFIRMED,15,1,True,False,False,MISSING_TE,0.0,0.0,0.0,2927.35,44.83
6,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1491.69,90.25,1581.94,1978.62,0.0
7,Brad,PARTIALLY_CONFIRMED,15,1,True,False,True,,1561.51,53.06,1614.57,1979.89,1.19
7,Brandon,PARTIALLY_CONFIRMED,15,1,True,False,True,,1994.06,114.28,2108.34,2662.76,2.16
7,CJ,PARTIALLY_CONFIRMED,15,2,True,False,True,,1789.62,97.49,1887.11,2397.25,4.77
7,Coby,PARTIALLY_CONFIRMED,15,2,True,False,True,,1612.8,69.7,1682.5,2102.9,0.59
7,Evan,PARTIALLY_CONFIRMED,15,1,True,False,True,,1846.44,113.81,1960.25,2430.47,0.85
7,James,PARTIALLY_CONFIRMED,15,2,True,False,True,,1452.72,100.39,1553.11,2062.53,0.0
7,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,2415.96,120.92,2536.88,3068.2,31.72
7,Reid,PARTIALLY_CONFIRMED,15,1,True,False,True,,1874.98,104.54,1979.52,2435.18,0.0
7,Ryan J,PARTIALLY_CONFIRMED,15,2,True,False,True,,1558.44,68.97,1627.41,2070.97,0.82
7,Sam,CONFIRMED,15,2,True,False,True,,1625.2,120.79,1745.99,2307.62,0.0
7,Shane,PARTIALLY_CONFIRMED,15,2,True,False,True,,1466.51,98.07,1564.58,2120.67,0.0
7,Travis,PARTIALLY_CONFIRMED,15,1,True,False,True,,1852.69,117.48,1970.17,2567.96,39.64
8,Brad,PARTIALLY_CONFIRMED,15,0,True,False,False,MISSING_QB,0.0,0.0,0.0,1997.86,6.24
8,Brandon,PARTIALLY_CONFIRMED,15,2,True,False,True,,1964.82,67.25,2032.07,2673.9,0.0
8,CJ,PARTIALLY_CONFIRMED,15,2,True,False,True,,1795.5,64.1,1859.6,2111.44,0.0
8,Coby,PARTIALLY_CONFIRMED,15,2,True,False,True,,1650.97,66.38,1717.35,1936.23,0.0
8,Evan,PARTIALLY_CONFIRMED,15,2,True,False,True,,1869.41,112.46,1981.87,2455.96,20.81
8,James,PARTIALLY_CONFIRMED,15,1,True,False,True,,1572.43,78.05,1650.48,2139.65,0.0
8,Jason,PARTIALLY_CONFIRMED,15,1,True,False,True,,2119.56,122.15,2241.71,2800.39,1.07
8,Reid,PARTIALLY_CONFIRMED,15,1,True,False,True,,2532.42,118.92,2651.34,3236.51,40.62
8,Ryan J,PARTIALLY_CONFIRMED,15,1,True,False,True,,1509.32,62.58,1571.9,1855.44,0.0
8,Sam,CONFIRMED,15,3,True,False,True,,1648.13,94.48,1742.61,2455.19,40.39
8,Shane,PARTIALLY_CONFIRMED,15,4,True,False,True,,1403.86,55.8,1459.66,2124.27,3.58
