pick,nomination_number,player,position,tier,nominating_team,nominator,winning_team,winner,sale_price,price,bidder_count,second_highest_bid,sale_is_organic,sale_has_competing_bid,forced_final_slot,budget_before,budget_after,slots_before,slots_after,minimum_reserve_after,winner_archetype,seed
49,49,Mike Washington Jr.,RB,7,Coby,Coby,Shane,Shane,5.501333333333335,5.501333333333335,4,3.52,True,True,False,41.26,35.76,5,4,4,positional_extremist_wr,0
50,50,Stefon Diggs,WR,5,CJ,CJ,Shane,Shane,3.3099999999999996,3.3099999999999996,4,2.3099999999999996,True,True,False,35.76,32.45,4,3,3,positional_extremist_wr,0
51,51,Dylan Sampson,RB,7,Travis,Travis,Shane,Shane,4.290611111111112,4.290611111111112,4,3.490666666666667,True,True,False,32.45,28.16,3,2,2,positional_extremist_wr,0
52,52,Mark Andrews,TE,1,Jason,Jason,Shane,Shane,4.476,4.476,5,3.476,True,True,False,28.16,23.68,2,1,1,positional_extremist_wr,0
53,53,Jajuan Jennings,WR,6,Shane,Shane,Shane,Shane,4.461333333333334,4.461333333333334,4,3.4613333333333336,True,True,False,23.68,19.22,1,0,0,positional_extremist_wr,0
54,54,Dak Prescott,QB,2,Evan,Evan,Travis,Travis,3.4466666666666668,3.4466666666666668,3,2.3099999999999996,True,True,False,11.0,7.55,8,7,7,emotional,0
55,55,Tank Bigsby,RB,8,Reid,Reid,Evan,Evan,2.0300000000000002,2.0300000000000002,3,1.0300000000000002,True,True,False,8.86,6.83,7,6,6,value_purist,0
56,56,Jakobi Meyers,WR,5,James,James,Evan,Evan,1.83,1.83,3,1.3099999999999996,True,True,False,6.83,5.0,6,5,5,value_purist,0
57,57,Travis Kelce,TE,1,Brandon,Brandon,James,James,1.6755555555555555,1.6755555555555555,3,1.0300000000000002,True,True,False,9.14,7.46,7,6,6,stars_and_scrubs,0
58,58,KC Concepcion,WR,6,Coby,Coby,Travis,Travis,1.5499999999999998,1.5499999999999998,3,1.3099999999999996,True,True,False,7.55,6.0,7,6,6,emotional,0
59,59,George Kittle,TE,1,CJ,CJ,James,James,1.2777777777777777,1.2777777777777777,3,1.0300000000000002,True,True,False,7.46,6.18,6,5,5,stars_and_scrubs,0
60,60,Makai Lemon,WR,6,Travis,Travis,Brandon,Brandon,1.3099999999999996,1.3099999999999996,2,1.0,True,True,False,7.31,6.0,7,6,6,positional_extremist_wr,0
61,61,Braelon Allen,RB,8,Jason,Jason,James,James,1.6466666666666667,1.6466666666666667,3,1.0300000000000002,True,True,False,6.18,4.53,5,4,4,stars_and_scrubs,0
62,62,Jayden Daniels,QB,2,Evan,Evan,James,James,1.261111111111111,1.261111111111111,3,1.0300000000000002,True,True,False,4.53,3.27,4,3,3,stars_and_scrubs,0
63,63,Jonah Coleman,RB,8,Reid,Reid,James,James,1.2555555555555555,1.2555555555555555,3,1.0300000000000002,True,True,False,3.27,2.01,3,2,2,stars_and_scrubs,0
64,64,Marcus Mariota,QB,5,James,James,James,James,1.0,1.0,1,0.0,True,False,False,2.01,1.01,2,1,1,stars_and_scrubs,0
65,65,Alvin Kamara,RB,7,Brandon,Brandon,Jason,Jason,1.2444444444444445,1.2444444444444445,3,1.0300000000000002,True,True,False,11.99,10.75,7,6,6,stars_and_scrubs,0
66,66,Isiah Pacheco,RB,7,Coby,Coby,Jason,Jason,1.238888888888889,1.238888888888889,3,1.01,True,True,False,10.75,9.51,6,5,5,stars_and_scrubs,0
67,67,CJ Stroud,QB,2,CJ,CJ,Jason,Jason,1.2333333333333334,1.2333333333333334,3,1.0300000000000002,True,True,False,9.51,8.28,5,4,4,stars_and_scrubs,0
68,68,AD Mitchell,WR,7,Travis,Travis,Jason,Jason,1.2277777777777779,1.2277777777777779,3,1.0300000000000002,True,True,False,8.28,7.05,4,3,3,stars_and_scrubs,0
69,69,Dalton Kincaid,TE,2,Jason,Jason,Jason,Jason,1.588888888888889,1.588888888888889,2,1.0300000000000002,True,True,False,7.05,5.46,3,2,2,stars_and_scrubs,0
70,70,Isaiah Likely,TE,2,Evan,Evan,Jason,Jason,1.2166666666666668,1.2166666666666668,3,1.0300000000000002,True,True,False,5.46,4.24,2,1,1,stars_and_scrubs,0
71,71,Dalton Schultz,TE,3,Reid,Reid,Jason,Jason,1.5744444444444443,1.5744444444444443,3,1.0300000000000002,True,True,False,4.24,2.67,1,0,0,stars_and_scrubs,0
72,72,Dallas Goedert,TE,2,James,James,Reid,Reid,1.2055555555555555,1.2055555555555555,3,1.0300000000000002,True,True,False,8.41,7.2,7,6,6,stars_and_scrubs,0
73,73,Tyrone Tracy Jr,RB,8,Brandon,Brandon,Reid,Reid,1.2,1.2,3,1.0300000000000002,True,True,False,7.2,6.0,6,5,5,stars_and_scrubs,0
74,74,Jayden Higgins,WR,7,Coby,Coby,Reid,Reid,1.1944444444444444,1.1944444444444444,3,1.01,True,True,False,6.0,4.81,5,4,4,stars_and_scrubs,0
75,75,Xavier Worthy,WR,7,CJ,CJ,Reid,Reid,1.5455555555555556,1.5455555555555556,3,1.0300000000000002,True,True,False,4.81,3.26,4,3,3,stars_and_scrubs,0
76,76,Brenton Strange,TE,3,Travis,Travis,Reid,Reid,1.1833333333333333,1.1833333333333333,3,1.0300000000000002,True,True,False,3.26,2.08,3,2,2,stars_and_scrubs,0
77,77,Jake Ferguson,TE,2,Evan,Evan,Reid,Reid,1.08,1.08,3,1.0300000000000002,True,True,False,2.08,1.0,2,1,1,stars_and_scrubs,0
78,78,Samaje Perine,RB,9,Reid,Reid,Coby,Coby,1.0300000000000002,1.0300000000000002,2,1.0,True,True,False,4.03,3.0,4,3,3,value_purist,0
79,79,Justin Herbert,QB,2,James,James,James,James,1.0,1.0,1,0.0,True,False,False,1.01,0.01,1,0,0,stars_and_scrubs,0
80,80,Kimani Vidal,RB,9,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,6.0,5.0,6,5,5,positional_extremist_wr,0
81,81,Emmett Johnson,RB,9,Coby,Coby,Coby,Coby,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,value_purist,0
82,82,Michael Penix Jr.,QB,10,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,8.0,7.0,8,7,7,positional_extremist_rb,0
83,83,Rashid Shaheed,WR,7,Travis,Travis,Travis,Travis,1.0,1.0,1,0.0,True,False,False,6.0,5.0,6,5,5,emotional,0
84,84,Baker Mayfield,QB,3,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,value_purist,0
85,85,Jordan Love,QB,3,Reid,Reid,Reid,Reid,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,stars_and_scrubs,0
86,86,Chig Okonkwo,TE,3,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,positional_extremist_wr,0
87,87,Quinn Ewers,QB,7,Coby,Coby,Coby,Coby,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,value_purist,0
88,88,Cade Otton,TE,11,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,7.0,6.0,7,6,6,positional_extremist_rb,0
89,89,Joe Flacco,QB,5,Travis,Travis,Travis,Travis,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,emotional,0
90,90,Cooper Kupp,WR,8,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,value_purist,0
91,91,Ray Davis,RB,9,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,positional_extremist_wr,0
92,92,Juwan Johnson,TE,3,Coby,Coby,Coby,Coby,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,value_purist,0
93,93,Trey Benson,RB,10,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,6.0,5.0,6,5,5,positional_extremist_rb,0
94,94,Chris Rodriguez Jr,RB,10,Travis,Travis,Travis,Travis,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,emotional,0
95,95,Rashod Bateman,WR,9,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,value_purist,0
96,96,Cam Ward,QB,12,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,positional_extremist_wr,0
97,97,Christian Kirk,WR,9,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,5.0,4.0,5,4,4,positional_extremist_rb,0
98,98,Emari Demercado,RB,15,Travis,Travis,Travis,Travis,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,emotional,0
99,99,Keenan Allen,WR,8,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,value_purist,0
100,100,Jared Goff,QB,3,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,positional_extremist_wr,0
101,101,Adonai Mitchell,WR,8,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,4.0,3.0,4,3,3,positional_extremist_rb,0
102,102,James Conner,RB,10,Travis,Travis,Travis,Travis,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,emotional,0
103,103,Tre Tucker,WR,10,Evan,Evan,Evan,Evan,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,value_purist,0
104,104,Keon Coleman,WR,8,Brandon,Brandon,Brandon,Brandon,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,positional_extremist_wr,0
105,105,Justice Hill,RB,10,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,3.0,2.0,3,2,2,positional_extremist_rb,0
106,106,Jordyn Tyson,WR,9,Travis,Travis,Travis,Travis,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,emotional,0
107,107,Kyler Murray,QB,4,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,2.0,1.0,2,1,1,positional_extremist_rb,0
108,108,Patrick Mahomes,QB,3,CJ,CJ,CJ,CJ,1.0,1.0,1,0.0,True,False,False,1.0,0.0,1,0,0,positional_extremist_rb,0
1,1,Tony Pollard,RB,2,Brandon,Brandon,Brad,Brad,267.0,267.0,12,266.0,True,True,False,281.0,14.0,9,8,8,positional_extremist_rb,1
2,2,Jeremiyah Love,RB,1,Shane,Shane,Coby,Coby,257.0,257.0,12,256.0,True,True,False,274.0,17.0,9,8,8,emotional,1
3,3,Bhayshul Tuten,RB,1,Jason,Jason,CJ,CJ,256.0,256.0,12,255.0,True,True,False,264.0,8.0,9,8,8,tier_controller,1
4,4,Deebo Samuel,WR,2,Brad,Brad,Reid,Reid,190.0,190.0,11,189.39999999999998,True,True,False,260.0,70.0,9,8,8,emotional,1
5,5,Bucky Irving,RB,1,Reid,Reid,Travis,Travis,176.0,176.0,11,175.0,True,True,False,264.0,88.0,9,8,8,anchor,1
6,6,Jordan Mason,RB,3,Travis,Travis,Brandon,Brandon,176.0,176.0,11,175.31965000000002,True,True,False,184.0,8.0,9,8,8,positional_extremist_rb,1
7,7,Jaylen Warren,RB,2,James,James,Evan,Evan,99.24685474581987,99.24685474581987,10,98.24685474581987,True,True,False,184.0,84.75,9,8,8,stars_and_scrubs,1
8,8,James Cook,RB,2,Ryan J,Ryan J,James,James,78.75,78.75,10,77.75,True,True,False,297.0,218.25,9,8,8,balanced,1
9,9,Tee Higgins,WR,1,Sam,Sam,Ryan J,Ryan J,78.180660304354,78.180660304354,10,77.56000000000002,True,True,False,257.0,178.82,9,8,8,value_purist,1
10,10,Josh Jacobs,RB,1,CJ,CJ,Ryan J,Ryan J,138.75,138.75,11,137.75,True,True,False,178.82,40.07,8,7,7,value_purist,1
11,11,Chuba Hubbard,RB,3,Coby,Coby,Evan,Evan,71.056,71.056,10,70.056,True,True,False,84.75,13.69,8,7,7,stars_and_scrubs,1
12,12,Rachaad White,RB,4,Evan,Evan,Shane,Shane,63.02788888888889,63.02788888888889,10,62.02788888888889,True,True,False,324.0,260.97,9,8,8,price_enforcer,1
13,13,DeVonta Smith,WR,1,Brandon,Brandon,Reid,Reid,60.86533333333333,60.86533333333333,11,59.86533333333333,True,True,False,70.0,9.13,8,7,7,emotional,1
14,14,Jonathon Brooks,RB,2,Shane,Shane,Sam,Sam,57.684374999999996,57.684374999999996,9,56.684374999999996,True,True,False,223.0,165.32,9,8,8,value_purist,1
15,15,Jaylen Waddle,WR,1,Jason,Jason,Sam,Sam,63.126075,63.126075,9,62.126075,True,True,False,165.32,102.19,8,7,7,value_purist,1
16,16,Kenny Gainwell,RB,3,Brad,Brad,Sam,Sam,62.8993375,62.8993375,9,61.8993375,True,True,False,102.19,39.29,7,6,6,value_purist,1
17,17,RJ Harvey,RB,3,Reid,Reid,James,James,55.69,55.69,10,54.69,True,True,False,218.25,162.56,8,7,7,balanced,1
18,18,Bill Croskey-Merritt,RB,4,Travis,Travis,Shane,Shane,46.29,46.29,9,45.29,True,True,False,260.97,214.68,8,7,7,price_enforcer,1
19,19,Rashee Rice,WR,1,James,James,Shane,Shane,44.89,44.89,9,43.89,True,True,False,214.68,169.79,7,6,6,price_enforcer,1
20,20,Terry McLaurin,WR,2,Ryan J,Ryan J,Jason,Jason,42.29927111111111,42.29927111111111,9,41.29927111111111,True,True,False,209.0,166.7,9,8,8,price_enforcer,1
21,21,DJ Moore,WR,2,Sam,Sam,James,James,36.391782222222226,36.391782222222226,9,35.391782222222226,True,True,False,162.56,126.17,7,6,6,balanced,1
22,22,Nick Chubb,RB,5,CJ,CJ,Shane,Shane,35.0,35.0,9,34.0,True,True,False,169.79,134.79,6,5,5,price_enforcer,1
23,23,Carnell Tate,WR,3,Coby,Coby,James,James,34.86637855555556,34.86637855555556,8,33.01160344834497,True,True,False,126.17,91.3,6,5,5,balanced,1
