"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"David Njoku","LAC","TE32","0.0","0.0","0.0","42.3","396.2","4.3","0.1","86.2"
"Caleb Douglas","MIA","WR78","1.0","5.5","0.0","39.2","507.4","2.5","0.7","84.7"
"Omar Cooper Jr.","NYJ","WR79","2.1","12.5","0.1","38.5","458.5","3.1","0.7","84.0"
"Tyler Allgeier","ARI","RB54","107.7","408.0","3.8","17.5","115.9","0.1","0.6","83.4"
"Kaelon Black","SF","RB55","113.6","452.1","3.6","10.6","95.2","0.7","1.2","83.3"
"Travis Hunter","JAC","WR80","2.0","10.8","0.1","38.1","451.6","3.1","0.4","83.2"
"Xavier Hutchinson","HOU","WR81","2.1","14.2","0.0","38.7","473.4","2.5","0.2","83.1"
"Ty Johnson","BUF","RB56","51.9","222.5","2.1","22.8","244.1","2.2","0.2","83.0"
"Brian Robinson Jr.","ATL","RB57","120.5","516.8","3.9","7.3","46.7","0.1","0.7","82.4"
"Tank Bigsby","PHI","RB58","104.6","510.7","4.2","3.8","31.8","0.1","0.7","80.2"
"Tyquan Thornton","KC","WR82","0.0","0.0","0.0","25.4","466.5","3.5","0.1","80.0"
"Darius Slayton","NYG","WR83","1.6","8.6","0.0","35.2","503.9","1.9","0.7","79.2"
"Tory Horton","SEA","WR84","0.5","3.0","0.0","30.3","400.5","4.2","0.6","79.2"
"Troy Franklin","DEN","WR85","3.0","10.8","0.0","36.5","403.1","3.4","0.6","79.0"
"Keaton Mitchell","LAC","RB59","95.6","432.8","2.2","15.5","114.5","0.4","0.7","76.6"
"Isiah Pacheco","DET","RB60","100.7","426.8","2.3","14.6","89.5","0.7","0.7","75.9"
"Xavier Legette","CAR","WR86","2.1","10.9","0.1","35.7","416.9","2.6","0.4","75.8"
"Mason Taylor","NYJ","TE33","0.0","0.0","0.0","44.2","386.9","2.5","0.1","75.4"
"Jahan Dotson","ATL","WR87","0.0","0.0","0.0","35.2","443.3","2.3","0.3","74.9"
"Colby Parkinson","LAR","TE34","0.0","0.0","0.0","33.4","342.2","4.0","0.6","73.8"
"Bryce Lance","NO","WR88","1.0","5.0","0.0","34.7","460.8","2.0","1.1","73.6"
"Tre' Harris","LAC","WR89","0.0","0.0","0.0","34.5","410.5","2.5","0.4","72.5"
"Isaac TeSlaa","DET","WR90","0.0","0.0","0.0","25.4","352.4","4.1","0.1","72.4"
"Ryan Flournoy","DAL","WR91","2.2","12.4","0.1","33.8","383.1","2.7","0.4","72.2"
"Oronde Gadsden II","LAC","TE35","0.0","0.0","0.0","33.1","413.2","2.5","0.6","71.7"
