match,seat,genome,player,position,price,projected_points,is_starting
15,Coby,gen15_elite0,Joe Burrow,QB,132.74,282.7,False
16,Evan,gen15_elite0,Drake London,WR,36.0,221.3,True
16,Evan,gen15_elite0,Saquon Barkley,RB,46.0,222.8,True
16,Evan,gen15_elite0,George Pickens,WR,41.0,209.94,True
16,Evan,gen15_elite0,Puka Nacua,WR,31.0,256.87,True
16,Evan,gen15_elite0,Emeka Egbuka,WR,11.0,166.25,False
16,Evan,gen15_elite0,Drake Maye,QB,33.599167391304356,296.32,False
16,Evan,gen15_elite0,Tee Higgins,WR,15.42566341452454,181.9,True
16,Evan,gen15_elite0,Jalen Hurts,QB,19.21164347826087,297.46,False
16,Evan,gen15_elite0,Tucker Kraft,TE,12.688238759170934,143.34,True
16,Evan,gen15_elite0,Matthew Golden,WR,11.61644895472106,127.74,False
16,Evan,gen15_elite0,Garrett Wilson,WR,10.435573913043479,163.37,False
16,Evan,gen15_elite0,Bill Croskey-Merritt,RB,9.838482328627748,459.64799999999997,True
16,Evan,gen15_elite0,Josh Allen,QB,11.95904,328.82,True
16,Evan,gen15_elite0,Josh Downs,WR,8.056187852871336,145.07,False
16,Evan,gen15_elite0,AJ Brown,WR,102.15,194.9,True
17,James,gen15_elite0,Zay Flowers,WR,31.0,205.23,False
17,James,gen15_elite0,Colston Loveland,TE,11.0,157.08,False
17,James,gen15_elite0,Wan'Dale Robinson,WR,11.0,133.19,False
17,James,gen15_elite0,Rico Dowdle,RB,13.0,157.15,False
17,James,gen15_elite0,Jalen Hurts,QB,39.093250000000005,297.46,False
17,James,gen15_elite0,Josh Allen,QB,22.471151304347828,328.82,False
17,James,gen15_elite0,Chris Godwin Jr,WR,19.105439130434785,134.26,False
17,James,gen15_elite0,TJ Hockenson,TE,19.051393043478264,103.35,False
17,James,gen15_elite0,Drake Maye,QB,24.527158260869562,296.32,False
17,James,gen15_elite0,Rashee Rice,WR,15.219556521739133,197.11,False
17,James,gen15_elite0,Sam LaPorta,TE,14.66702028403899,139.7,False
17,James,gen15_elite0,CJ Stroud,QB,24.35160347826087,245.14,False
17,James,gen15_elite0,Lamar Jackson,QB,19.72226086956522,289.92,False
17,James,gen15_elite0,Jameson Williams,WR,9.0,156.45,False
17,James,gen15_elite0,Mike Evans,WR,126.79,164.95,False
18,Jason,gen15_elite0,CeeDee Lamb,WR,46.0,224.28,True
18,Jason,gen15_elite0,Bijan Robinson,RB,26.0,295.2,True
18,Jason,gen15_elite0,Jahmyr Gibbs,RB,31.0,296.35,True
18,Jason,gen15_elite0,Kenny Gainwell,RB,22.265558695652174,136.45,False
18,Jason,gen15_elite0,Jalen Hurts,QB,24.321013913043483,297.46,False
18,Jason,gen15_elite0,CJ Stroud,QB,22.87569873493644,245.14,False
18,Jason,gen15_elite0,Josh Allen,QB,21.831652173913046,328.82,True
18,Jason,gen15_elite0,AJ Brown,WR,14.885237826086957,194.9,True
18,Jason,gen15_elite0,Tucker Kraft,TE,12.423724304347827,143.34,True
18,Jason,gen15_elite0,Austin Ekeler,RB,12.544400000000001,339.26399999999995,True
18,Jason,gen15_elite0,Lamar Jackson,QB,12.50716,289.92,False
18,Jason,gen15_elite0,Mike Evans,WR,10.79522633468178,164.95,True
18,Jason,gen15_elite0,Tyler Allgeier,RB,9.993510104130122,86.65,False
18,Jason,gen15_elite0,Cam Ward,QB,1.0,221.28,False
18,Jason,gen15_elite0,Michael Pittman Jr,WR,131.55,137.83,True
19,Reid,gen15_elite0,Chris Olave,WR,41.0,194.65,True
19,Reid,gen15_elite0,Javonte Williams,RB,34.0,196.9,True
19,Reid,gen15_elite0,Rashee Rice,WR,25.427565217391308,197.11,True
19,Reid,gen15_elite0,Kenny Gainwell,RB,23.0,136.45,False
19,Reid,gen15_elite0,Mike Evans,WR,19.973,164.95,True
19,Reid,gen15_elite0,Drake Maye,QB,22.800279347826084,296.32,False
19,Reid,gen15_elite0,Bill Croskey-Merritt,RB,14.46208,459.64799999999997,True
19,Reid,gen15_elite0,CJ Stroud,QB,22.0,245.14,False
19,Reid,gen15_elite0,Josh Allen,QB,18.283104347826086,328.82,True
19,Reid,gen15_elite0,Jalen Hurts,QB,22.333854608695653,297.46,False
19,Reid,gen15_elite0,TJ Hockenson,TE,11.608940192716451,103.35,True
19,Reid,gen15_elite0,Matthew Golden,WR,10.674774515284437,127.74,False
19,Reid,gen15_elite0,Nick Chubb,RB,9.446565217391305,372.09599999999995,True
19,Reid,gen15_elite0,JK Dobbins,RB,9.115385723994171,134.15,False
19,Reid,gen15_elite0,Amon-Ra St Brown,WR,115.88,247.22,True
20,Ryan J,gen15_elite0,Ashton Jeanty,RB,11.0,199.4,False
20,Ryan J,gen15_elite0,Michael Wilson,WR,11.0,132.1,False
20,Ryan J,gen15_elite0,Fernando Mendoza,QB,1.0,171.1,False
20,Ryan J,gen15_elite0,Chris Godwin Jr,WR,22.999304347826087,134.26,False
20,Ryan J,gen15_elite0,Jacory Croskey-Merritt,RB,22.59741739130435,127.0,False
20,Ryan J,gen15_elite0,Deebo Samuel,WR,22.8679652173913,102.68,False
20,Ryan J,gen15_elite0,Brian Robinson Jr,RB,22.53994782608696,77.14,False
20,Ryan J,gen15_elite0,Jaylen Waddle,WR,19.46,177.9,False
20,Ryan J,gen15_elite0,Davante Adams,WR,19.46,161.35,False
20,Ryan J,gen15_elite0,Kenny Gainwell,RB,15.467901739130436,136.45,False
20,Ryan J,gen15_elite0,Jalen Hurts,QB,31.44450217391305,297.46,False
20,Ryan J,gen15_elite0,James Cook,RB,14.917586719931291,234.4,False
20,Ryan J,gen15_elite0,Zach Charbonnet,RB,13.668512894906451,107.61,False
