iteration,team,leftover_budget
17,Brad,0.0
17,Brandon,0.0
17,CJ,0.0
17,Coby,0.0
17,Evan,0.0
17,James,0.0
17,Jason,0.0
17,Reid,0.0
17,Ryan J,0.0
17,Sam,0.0
17,Shane,0.0
17,Travis,0.0
18,Brad,0.0
18,Brandon,0.0
18,CJ,0.0
18,Coby,0.0
18,Evan,0.0
18,James,0.0
18,Jason,0.0
18,Reid,0.0
18,Ryan J,0.0
18,Sam,0.0
18,Shane,0.0
18,Travis,0.0
19,Brad,0.0
19,Brandon,0.0
19,CJ,0.0
19,Coby,0.0
19,Evan,0.0
19,James,0.0
19,Jason,0.0
19,Reid,0.0
19,Ryan J,0.0
19,Sam,0.0
19,Shane,0.0
19,Travis,0.0
20,Brad,0.0
20,Brandon,0.0
20,CJ,0.0
20,Coby,0.0
20,Evan,0.0
20,James,0.0
20,Jason,0.0
20,Reid,0.0
20,Ryan J,0.0
20,Sam,0.0
20,Shane,0.0
20,Travis,0.0
21,Brad,0.0
21,Brandon,0.0
21,CJ,0.0
21,Coby,0.0
21,Evan,0.0
21,James,0.0
21,Jason,0.0
21,Reid,0.0
21,Ryan J,0.0
21,Sam,0.0
21,Shane,0.0
21,Travis,0.0
22,Brad,0.0
22,Brandon,0.0
22,CJ,0.0
22,Coby,0.0
22,Evan,0.0
22,James,0.0
22,Jason,0.0
22,Reid,0.0
22,Ryan J,0.0
22,Sam,0.0
22,Shane,0.0
22,Travis,0.0
